sa4_name_2016,sa4_code,anzsco,unempratemvmt,score00,averageannualmvmt20132016mvmt,score0001,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian,score,occunemp,occempscore,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate,unempscore,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,sa4_code,nswscore,state,propjvinc201316,jv_score,priorityoccup_score,occupunemprate,occunempscore,numbus_industry201315mvmt,_201315score
Central Coast,102,44,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,80.11152416,1,0,3.334412454,1,-15.78947368,0
Central Coast,102,45,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,100,2,0,2.763530685,2,-15.78947368,0
Central Coast,102,51,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,121.3716108,3,0,2.535082122,2,-15.78947368,0
Central Coast,102,52,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,121.3716108,3,0,2.826080167,1,-15.78947368,0
Central Coast,102,53,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,121.3716108,3,0,3.294490254,1,-15.78947368,0
Central Coast,102,54,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,28.89963724,2,0,4.703538895,0,-15.78947368,0
Central Coast,102,55,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,87.4435411,3,0,1.166403088,3,-15.78947368,0
Central Coast,102,56,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,500,3,0,3.351366358,1,-15.78947368,0
Central Coast,102,59,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,62.62295082,3,0,2.833331772,1,-15.78947368,0
Central Coast,102,61,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,36.69821241,3,0,1.418062031,3,-15.78947368,0
Central Coast,102,62,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,32.25806452,3,0,5.58626565,0,-15.78947368,0
Central Coast,102,63,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,83.4179357,1,0,2.852111249,1,-15.78947368,0
Central Coast,102,71,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,66.56394453,3,0,3.517283791,0,-15.78947368,0
Central Coast,102,72,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,119.8770492,3,0,4.54891329,0,-15.78947368,0
Central Coast,102,73,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,119.8770492,3,0,2.452576498,2,-15.78947368,0
Central Coast,102,74,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,64.35006435,3,0,6.827084124,0,-15.78947368,0
Central Coast,102,81,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,35.52795031,3,0,5.323702597,0,-15.78947368,0
Central Coast,102,82,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,57.66016713,3,0,8.599890638,0,-15.78947368,0
Central Coast,102,83,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,0,2,0,7.394282019,0,-15.78947368,0
Central Coast,102,84,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,143.3476395,3,0,5.816067226,0,-15.78947368,0
Central Coast,102,85,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,6.95900858,3,0,8.407560815,0,-15.78947368,0
Central Coast,102,89,19.12824574,3,-7.388219807,2,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,18.46361186,3,0,3.879472423,0,-15.78947368,0
New South Wales - Central West,103,11,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,433.2935561,3,0,1.775513209,3,0.970873786,2
New South Wales - Central West,103,12,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,1,0,0,1.775513209,3,0.970873786,2
New South Wales - Central West,103,13,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,161.1739365,3,1,1.934726957,2,0.970873786,2
New South Wales - Central West,103,14,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,45.50128535,1,0,1.38456451,3,0.970873786,2
New South Wales - Central West,103,21,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,299.4708995,3,0,3.044104943,1,0.970873786,2
New South Wales - Central West,103,22,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,165.1234568,3,0,2.395599968,2,0.970873786,2
New South Wales - Central West,103,23,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,36.16843279,2,2,2.744430198,2,0.970873786,2
New South Wales - Central West,103,24,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,123.5491071,3,1,1.983106736,2,0.970873786,2
New South Wales - Central West,103,25,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,229.5609756,3,3,0.842000852,3,0.970873786,2
New South Wales - Central West,103,26,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,107.8144078,3,1,2.189164464,2,0.970873786,2
New South Wales - Central West,103,27,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,118.940754,3,1,1.637641677,3,0.970873786,2
New South Wales - Central West,103,31,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,100,3,1,1.48376513,3,0.970873786,2
New South Wales - Central West,103,32,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,63.74100719,2,2,3.672178202,0,0.970873786,2
New South Wales - Central West,103,33,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,95.09493671,1,3,3.087091782,1,0.970873786,2
New South Wales - Central West,103,34,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,64.21052632,2,2,3.928639959,0,0.970873786,2
New South Wales - Central West,103,35,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,30.92783505,1,2,3.215717391,1,0.970873786,2
New South Wales - Central West,103,36,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,34.8219333,0,0,4.462419792,0,0.970873786,2
New South Wales - Central West,103,39,19.12824574,3,22.59655061,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,199.1525424,3,0,1.495232111,3,0.970873786,2
