sa4_name_2016,sa4_code,anzsco,unempratemvmt,score00,averageannualmvmt20132016mvmt,score0001,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian,score,occunemp,occempscore,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate,unempscore,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,sa4_code,NSWscore,state,propjvinc201316,jv_score,priorityoccup_score,occupunemprate,occunempscore,numbus_industry201315mvmt,_201315score
Capital Region,101,11,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,0,1,0,1.775513209,3,4.499274311,0
Capital Region,101,12,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,12.98917569,1,0,1.775513209,3,4.499274311,0
Capital Region,101,13,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,125.7944587,3,1,1.934726957,2,4.499274311,0
Capital Region,101,14,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,60.24204393,2,0,1.38456451,3,4.499274311,0
Capital Region,101,21,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,9.459459459,0,0,3.044104943,1,4.499274311,0
Capital Region,101,22,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,128.2010096,3,0,2.395599968,2,4.499274311,0
Capital Region,101,23,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,55.50151976,2,2,2.744430198,2,4.499274311,0
Capital Region,101,24,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,88.50221767,1,1,1.983106736,2,4.499274311,0
Capital Region,101,25,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,153.2659637,3,3,0.842000852,3,4.499274311,0
Capital Region,101,26,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,26.48698885,0,1,2.189164464,2,4.499274311,0
Capital Region,101,27,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,79.0922619,1,1,1.637641677,3,4.499274311,0
Capital Region,101,31,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,44.91193738,2,1,1.48376513,3,4.499274311,0
Capital Region,101,32,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,63.79310345,2,2,3.672178202,0,4.499274311,0
Capital Region,101,33,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,78.68525896,2,3,3.087091782,1,4.499274311,0
Capital Region,101,34,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,316.6219839,3,2,3.928639959,0,4.499274311,0
Capital Region,101,35,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,50.43010753,3,2,3.215717391,1,4.499274311,0
Capital Region,101,36,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,104.6106557,0,0,4.462419792,0,4.499274311,0
Capital Region,101,39,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,220.1716738,3,0,1.495232111,3,4.499274311,0
Capital Region,101,41,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,109.0305445,3,1,3.48189448,0,4.499274311,0
Capital Region,101,42,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,25.54517134,1,0,4.393815552,0,4.499274311,0
Capital Region,101,43,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,24.54258675,0,0,5.277350171,0,4.499274311,0
Capital Region,101,44,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,80.11152416,3,0,3.334412454,1,4.499274311,0
Capital Region,101,45,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,165.2380952,3,0,2.763530685,2,4.499274311,0
Capital Region,101,51,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,69.95884774,1,0,2.535082122,2,4.499274311,0
Capital Region,101,52,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,87.48043818,1,0,2.826080167,1,4.499274311,0
Capital Region,101,53,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,87.48043818,1,0,3.294490254,1,4.499274311,0
Capital Region,101,54,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,87.48043818,2,0,4.703538895,0,4.499274311,0
Capital Region,101,55,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,66.55328798,3,0,1.166403088,3,4.499274311,0
Capital Region,101,56,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,500,3,0,3.351366358,1,4.499274311,0
Capital Region,101,59,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,57.24381625,3,0,2.833331772,1,4.499274311,0
Capital Region,101,61,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,39.44337812,2,0,1.418062031,3,4.499274311,0
Capital Region,101,62,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,32.25806452,3,0,5.58626565,0,4.499274311,0
Capital Region,101,63,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,83.4179357,3,0,2.852111249,1,4.499274311,0
Capital Region,101,71,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,14.13612565,2,0,3.517283791,0,4.499274311,0
Capital Region,101,72,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,29.69387755,1,0,4.54891329,0,4.499274311,0
Capital Region,101,73,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,45.88744589,1,0,2.452576498,2,4.499274311,0
Capital Region,101,74,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,53.45679012,3,0,6.827084124,0,4.499274311,0
Capital Region,101,81,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,89.8989899,2,0,5.323702597,0,4.499274311,0
Capital Region,101,82,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,42.56756757,0,0,8.599890638,0,4.499274311,0
Capital Region,101,83,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,97.18309859,2,0,7.394282019,0,4.499274311,0
Capital Region,101,84,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,85.67480424,2,0,5.816067226,0,4.499274311,0
Capital Region,101,85,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,501.6216216,0,0,8.407560815,0,4.499274311,0
Capital Region,101,89,4.577978152,1,11.29312466,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,23.44086022,2,0,3.879472423,0,4.499274311,0
Central Coast,102,11,4.193375686,1,10.90696254,3,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,139.9991297,3,0,1.775513209,3,8.112324493,1
Central Coast,102,12,4.193375686,1,10.90696254,3,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,1,1,0,1.775513209,3,8.112324493,1
